model,display_name,perturbation,severity_index,severity_label_original,n_conditions_pooled,accuracy,macro_f1,balanced_accuracy,brier,closed_to_open_rate,open_to_closed_rate,predicted_open_fraction,auc,n_predictions,support_closed,support_open,point_estimate_pooled,ci_low,ci_high,model_order,pert_order
efficientnet_b0,EfficientNet-B0,noise,2,severe,5,0.2353204649674736,0.2349389411808241,0.5099338841113183,0.7599861757153327,0.8756103637269557,0.1045218680504077,0.8784685933667484,0.5048209528326174,46885,40140,6745,0.2349389411808241,0.1720566798519134,0.2728324759144414,2,3
deit_tiny,DeiT-Tiny,clean,-1,none,1,0.9875226618321424,0.9751541743192472,0.9843872059356372,0.0100755521610714,0.0112107623318385,0.0200148257968865,0.150581209342007,0.9983465487546735,9377,8028,1349,0.9751541743192472,0.965691923302208,0.99411066793167,3,0
deit_tiny,DeiT-Tiny,brightness,0,mild,1,0.9796310120507624,0.9574807931332344,0.9449333282362732,0.0153438229095023,0.0063527653213751,0.1037805782060785,0.1343713341153887,0.9966722752796644,9377,8028,1349,0.9574807931332344,0.9347533411949686,0.9923886008027736,3,1
deit_tiny,DeiT-Tiny,brightness,1,moderate,1,0.9860296470086382,0.9715994810261186,0.970872378476666,0.0104820475754552,0.0078475336322869,0.050407709414381,0.1433294230564146,0.9983566136018376,9377,8028,1349,0.9715994810261186,0.9586006904367907,0.9950532481966748,3,1
deit_tiny,DeiT-Tiny,brightness,2,severe,1,0.9607550389250292,0.927649153528878,0.9721464126853272,0.0300104522836313,0.0438465371200797,0.0118606375092661,0.1796949984003412,0.9966106858020648,9377,8028,1349,0.927649153528878,0.783638046023348,0.99447598917811,3,1
deit_tiny,DeiT-Tiny,blur,0,mild,1,0.986349578756532,0.9727118342266484,0.9800017488826172,0.0104339347970694,0.0110861983059292,0.0289103039288361,0.1491948384344673,0.9982460849591294,9377,8028,1349,0.9727118342266484,0.9616315735937342,0.9952077271798404,3,2
deit_tiny,DeiT-Tiny,blur,1,moderate,1,0.9811240268742668,0.9611938387545078,0.9553645266031454,0.0134458395267397,0.0084703537618335,0.0808005930318754,0.1394902420816892,0.997731854373296,9377,8028,1349,0.9611938387545078,0.9421931575123064,0.9950273820885256,3,2
deit_tiny,DeiT-Tiny,blur,2,severe,1,0.9664071664711528,0.9259770431109724,0.8931144626128786,0.0234000606414764,0.0039860488290981,0.2097850259451445,0.1170950197291244,0.996133944463466,9377,8028,1349,0.9259770431109724,0.841090068865531,0.9820352148548754,3,2
deit_tiny,DeiT-Tiny,noise,0,mild,5,0.9846219473179056,0.968978904036704,0.971900433360924,0.0120270660452138,0.0102391629297458,0.0459599703484062,0.1460168497387224,0.9975526576182768,46885,40140,6745,0.968978904036704,0.9551677720293388,0.9930104054031252,3,3
deit_tiny,DeiT-Tiny,noise,1,moderate,5,0.9570225018662686,0.9154604099535456,0.9288309301433124,0.0329929717312171,0.0315894369706028,0.1107487027427724,0.1549749386797483,0.9846980675124096,46885,40140,6745,0.9154604099535456,0.8680954604821434,0.9586913687097792,3,3
deit_tiny,DeiT-Tiny,noise,2,severe,5,0.887490668657353,0.8089969741429592,0.8745934171097969,0.0825567560207682,0.1072994519182859,0.14351371386212,0.2150794497173936,0.9460498780583748,46885,40140,6745,0.8089969741429592,0.6985471869912322,0.8773633116427841,3,3
repvit_m1_0,RepViT-M1.0,clean,-1,none,1,0.9821904660339128,0.9631075455219692,0.9538288063682228,0.0138490790239358,0.0063527653213751,0.0859896219421793,0.1369307880985389,0.9968134601541012,9377,8028,1349,0.9631075455219692,0.9440590861028813,0.9953810325873432,4,0
repvit_m1_0,RepViT-M1.0,brightness,0,mild,1,0.9777114215634,0.9539462081424044,0.9459707923675588,0.0169233202384498,0.0094668659691081,0.0985915492957746,0.1377839394262557,0.9955015211769924,9377,8028,1349,0.9539462081424044,0.9090249068601548,0.9898468494898972,4,1
repvit_m1_0,RepViT-M1.0,brightness,1,moderate,1,0.9838967686893464,0.9668733562307328,0.9606842138504854,0.0124563300620127,0.0067264573991031,0.0719051148999258,0.13927695424976,0.9973859560478282,9377,8028,1349,0.9668733562307328,0.9500115663954748,0.9950532481966748,4,1
repvit_m1_0,RepViT-M1.0,brightness,2,severe,1,0.9668337421350112,0.9363736973776118,0.9621285194185067,0.0240586718768599,0.0312655705032386,0.0444773906597479,0.1642316305854751,0.9946380680959858,9377,8028,1349,0.9363736973776118,0.8752895856399748,0.9669479192846198,4,1
repvit_m1_0,RepViT-M1.0,blur,0,mild,1,0.9772848458995416,0.953035054859228,0.9447965755881104,0.0183059429714714,0.0095914299950174,0.100815418828762,0.1375706515943265,0.9937626110688202,9377,8028,1349,0.953035054859228,0.9221344665076248,0.9897767129397946,4,2
repvit_m1_0,RepViT-M1.0,blur,1,moderate,1,0.9611816145888876,0.9150223989279744,0.8854372003399518,0.0314618590682528,0.0082212257100149,0.2209043736100815,0.1191212541324517,0.9866202631043388,9377,8028,1349,0.9150223989279744,0.8529783010683517,0.9769169691470054,4,2
repvit_m1_0,RepViT-M1.0,blur,2,severe,1,0.9433720806228004,0.8682815010921855,0.8232311354292593,0.0490720250305441,0.0080966616841056,0.3454410674573758,0.1010984323344353,0.970419737368432,9377,8028,1349,0.8682815010921855,0.7937181392919478,0.9637049519660392,4,2
repvit_m1_0,RepViT-M1.0,noise,0,mild,5,0.8889196971312786,0.6556483850937409,0.6143679571462816,0.0964400868255691,0.000174389636273,0.7710896960711638,0.0330809427322171,0.9171792628690614,46885,40140,6745,0.6556483850937409,0.5631714705287421,0.7680541679189026,4,3
repvit_m1_0,RepViT-M1.0,noise,1,moderate,5,0.8492055028260638,0.4708874480986698,0.5011938386145156,0.1214446502470211,0.010214250124564,0.9873980726464048,0.0105577476804948,0.6703928522225584,46885,40140,6745,0.4708874480986698,0.4557609249141379,0.5023458126907383,4,3
repvit_m1_0,RepViT-M1.0,noise,2,severe,5,0.8325050655860083,0.56928730854907,0.5595886783212056,0.1374407107921427,0.0572496263079222,0.8235730170496665,0.0743947957769009,0.6827891981474772,46885,40140,6745,0.56928730854907,0.5233935685958138,0.6498906047646269,4,3
efficientformer_l1,EfficientFormer-L1,clean,-1,none,1,0.9890156766556468,0.9779550860136038,0.9834089766617432,0.0084663125534073,0.0087194818136522,0.0244625648628613,0.1478084675269275,0.998570283843464,9377,8028,1349,0.9779550860136038,0.957891982015072,0.9931197114060244,5,0
efficientformer_l1,EfficientFormer-L1,brightness,0,mild,1,0.9105257545057056,0.852087483753422,0.9394195925823738,0.0598094674231589,0.1011459890383657,0.0200148257968865,0.227578116668444,0.9910151848072148,9377,8028,1349,0.852087483753422,0.6228581542900853,0.9599356529279804,5,1
efficientformer_l1,EfficientFormer-L1,brightness,1,moderate,1,0.9793110803028688,0.9594915770249202,0.9765078618460296,0.0158746600871983,0.0195565520677628,0.0274277242401779,0.1566599125519889,0.9969226960641462,9377,8028,1349,0.9594915770249202,0.8641296924975825,0.992797698264078,5,1
efficientformer_l1,EfficientFormer-L1,brightness,2,severe,1,0.9912551988909032,0.9824656260467072,0.98841725384431,0.0078284298147457,0.0075984055804683,0.0155670867309117,0.1481283992748213,0.998793372565923,9377,8028,1349,0.9824656260467072,0.9679364432989292,0.9921158630494016,5,1
efficientformer_l1,EfficientFormer-L1,blur,0,mild,1,0.9859230030926736,0.9718760309922518,0.9794442579215888,0.0113936617517603,0.0114598903836572,0.0296515937731653,0.1494081262663965,0.9979757191564144,9377,8028,1349,0.9718760309922518,0.9324538932572336,0.9908217084402946,5,2
efficientformer_l1,EfficientFormer-L1,blur,1,moderate,1,0.97632505065586,0.950722194047313,0.9396105938333696,0.0170888361211743,0.0088440458395615,0.111934766493699,0.13533112935907,0.9956239614278122,9377,8028,1349,0.950722194047313,0.8483267133605428,0.9852489312124748,5,2
efficientformer_l1,EfficientFormer-L1,blur,2,severe,1,0.9620347659166044,0.9157857782766736,0.8813100128054404,0.0304477608684383,0.0053562531141006,0.2320237212750185,0.1150687853257971,0.9873391148031556,9377,8028,1349,0.9157857782766736,0.8013493859082095,0.9725153669624848,5,2
efficientformer_l1,EfficientFormer-L1,noise,0,mild,5,0.6040098112402688,0.521131627957998,0.6245439331502085,0.228719525252119,0.4042850024912805,0.3466271312083024,0.4401194411858803,0.6630137107226265,46885,40140,6745,0.521131627957998,0.3694271182543831,0.6394386583892328,5,3
efficientformer_l1,EfficientFormer-L1,noise,1,moderate,5,0.1438839714194305,0.1257964164080106,0.500012456402591,0.4532082582959673,0.999975087194818,0.0,0.9999786712168072,0.4482118109227045,46885,40140,6745,0.1257964164080106,0.0628214108455589,0.1714798175279095,5,3
efficientformer_l1,EfficientFormer-L1,noise,2,severe,5,0.4635597739148981,0.3679147868604309,0.3785311269710941,0.2931739425166556,0.5020926756352765,0.7408450704225352,0.4671430094913085,0.3426534963062934,46885,40140,6745,0.3679147868604309,0.2785453471450231,0.4174712094014707,5,3
